"","accepted_symbol","common_name","scientific_name","fire_resistance","growth_rate","height","drought_tolerance","fire_tolerance","moisture_use","planting_density","root_depth","bloom_period","growth_habit","growth_period"
"261","PUGR2","pomegranate","Punica granatum","No","Slow",20,"None","Low","Medium",300,20,"Spring","Tree","Spring"
"262","PUGR2","pomegranate","Punica granatum","No","Slow",20,"None","Low","Medium",300,20,"Spring","Shrub","Spring"
"263","PUGL2","desert bitterbrush","Purshia glandulosa","No","Slow",5,"High","None","Low",2500,12,"Spring","Shrub","Spring"
"264","PUGL2","desert bitterbrush","Purshia glandulosa","No","Slow",5,"High","None","Low",2500,12,"Spring","Shrub","Summer"
"265","PUGL2","desert bitterbrush","Purshia glandulosa","No","Slow",5,"High","None","Low",2500,12,"Spring","Shrub","Fall"
"266","PUTR2","antelope bitterbrush","Purshia tridentata","No","Rapid",3,"High","None","Low",1800,20,"Early Spring","Shrub","Spring"
"267","QUCH2","canyon live oak","Quercus chrysolepis","No","Slow",90,"High","Medium","Medium",800,42,"Late Spring","Shrub","Spring"
"268","QUCH2","canyon live oak","Quercus chrysolepis","No","Slow",90,"High","Medium","Medium",800,42,"Late Spring","Shrub","Summer"
"269","QUCH2","canyon live oak","Quercus chrysolepis","No","Slow",90,"High","Medium","Medium",800,42,"Late Spring","Shrub","Fall"
"270","QUCH2","canyon live oak","Quercus chrysolepis","No","Slow",90,"High","Medium","Medium",800,42,"Late Spring","Tree","Spring"
"271","QUCH2","canyon live oak","Quercus chrysolepis","No","Slow",90,"High","Medium","Medium",800,42,"Late Spring","Tree","Summer"
"272","QUCH2","canyon live oak","Quercus chrysolepis","No","Slow",90,"High","Medium","Medium",800,42,"Late Spring","Tree","Fall"
"273","QUDO","blue oak","Quercus douglasii","No","Slow",60,"High","Low","Low",405,32,"Spring","Tree","Spring"
"274","QUDU","coastal sage scrub oak","Quercus dumosa","No","Slow",9,"High","Medium","Low",700,30,"Early Spring","Tree","Spring"
"275","QUDU","coastal sage scrub oak","Quercus dumosa","No","Slow",9,"High","Medium","Low",700,30,"Early Spring","Shrub","Spring"
"276","QUGA4","Oregon white oak","Quercus garryana","Yes","Slow",80,"High","Low","Low",800,42,"Mid Spring","Tree","Spring"
"277","QUGA4","Oregon white oak","Quercus garryana","Yes","Slow",80,"High","Low","Low",800,42,"Mid Spring","Shrub","Spring"
"278","QUKE","California black oak","Quercus kelloggii","No","Slow",85,"Medium","Low","Medium",800,36,"Late Spring","Tree","Spring"
"279","QUKE","California black oak","Quercus kelloggii","No","Slow",85,"Medium","Low","Medium",800,36,"Late Spring","Shrub","Spring"
"280","QULO","valley oak","Quercus lobata","No","Rapid",100,"Medium","Low","Medium",800,42,"Early Spring","Tree","Spring"
"281","QUVA","huckleberry oak","Quercus vacciniifolia","No","Slow",1,"Medium","High","Low",1700,18,"Early Spring","Shrub","Spring"
"282","RHCR","redberry buckthorn","Rhamnus crocea","No","Slow",5,"High","None","Low",2700,16,"Early Spring","Shrub","Spring"
"283","RHCR","redberry buckthorn","Rhamnus crocea","No","Slow",5,"High","None","Low",2700,16,"Early Spring","Shrub","Summer"
"284","RHCR","redberry buckthorn","Rhamnus crocea","No","Slow",5,"High","None","Low",2700,16,"Early Spring","Shrub","Fall"
